wallet_address,total_amount_eth_borrows,total_amount_eth_deposits,total_amount_eth_repays,total_amount_eth_withdraws,avg_amount_eth_borrows,avg_amount_eth_deposits,avg_amount_eth_repays,avg_amount_eth_withdraws,tx_count_borrows,tx_count_deposits,tx_count_repays,tx_count_withdraws,active_days,borrow_to_deposit_ratio,repay_to_borrow_ratio,tx_total
0x003c52a71c887461087154eccced08cb1c5384a5,14944.000000017437,6054.292031610992,15306.092802511583,2448.7050000000004,879.0588235304375,504.52433596758266,478.31540007848696,408.11750000000006,17.0,12.0,32.0,6.0,1,2.468331544298,1.024229978753595,67.0
0x003dc32fe920a4aaeed12dc87e145f030aa753f3,3000.0,1750.0,1350.0,1675.8400000000001,1000.0,1750.0,675.0,837.9200000000001,3.0,1.0,2.0,2.0,1,1.7142857142857142,0.45,8.0
0x003f6b20bfa4b5cab701960ecf73859cb3c095fc,0.0,0.0,0.0,0.20000237814395666,0.0,0.0,0.0,0.20000237814395666,0.0,0.0,0.0,1.0,1,,,1.0
0x004537fcd9095489ebe38180a382341b962b501d,0.0,1161.7948885599612,0.0,0.0,0.0,1161.7948885599612,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x0048800e4f0f43c4867a9326402c69c28cd23bc7,3.005,1630.065776889166,3.0,1631.396285835964,1.5025,326.0131553778332,3.0,543.7987619453213,2.0,5.0,1.0,3.0,1,0.001843483890407645,0.9983361064891847,11.0
0x0049fab7f5dd1f26f057bd5d972ffc6ba3c349dd,0.0,115.00000000001,0.0,115.0074271007074,0.0,28.7500000000025,0.0,28.75185677517685,0.0,4.0,0.0,4.0,1,0.0,,8.0
0x00552d85d4d1b09b76786c72798c5e5bd296b95b,0.0,4754.5955614889335,0.0,0.0,0.0,4754.5955614889335,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,80.0,0.0,80.07747096220093,1500.4895774794577,80.0,0.0,80.07747096220093,750.2447887397288,1.0,0.0,1.0,2.0,1,inf,1.0009683870275117,4.0
0x005839abcf30fc149dbac154d62cf00ce5a18351,1457.63,0.0,1463.9807650816656,59.561262432503526,182.20375,0.0,121.9983970901388,29.780631216251763,8.0,0.0,12.0,2.0,1,inf,1.0043569116179452,22.0
0x0061cc250c17c9a9f6335acaf1bb94b3fcf9e6ad,212.49003530652962,0.0,207.22079791418707,0.287817791018208,21.249003530652963,0.0,20.722079791418707,0.287817791018208,10.0,0.0,10.0,1.0,1,inf,0.9752024259173313,21.0
0x00695c7fcd8ee1517adb85c24547fc792613a5c5,33.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,inf,0.0,4.0
0x0069942d0e0835dc6b229ab1039b96f0e95dbf94,0.0,1236.9975,0.0,1000.3569561659398,0.0,618.49875,0.0,1000.3569561659398,0.0,2.0,0.0,1.0,1,0.0,,3.0
0x006e365dcd01259bfae9b35ebb5c9b34385644d9,0.0,0.0,0.0,48.97229993430993,0.0,0.0,0.0,24.486149967154965,0.0,0.0,0.0,2.0,1,,,2.0
0x006f24f3fd93b7a19ab3c98d368b95df049bf9d2,0.0,0.0,0.0,1007.9824205192658,0.0,0.0,0.0,1007.9824205192658,0.0,0.0,0.0,1.0,1,,,1.0
0x00707aa2eeff1ddb8b22bd1539f92818c9cb8a85,280.1,0.0,229.01667526861564,0.0,46.68333333333334,0.0,229.01667526861564,0.0,6.0,0.0,1.0,0.0,1,inf,0.8176246885705664,7.0
0x0073c423a0b5d88b330d481301025db1ab65d891,0.0,3395.2787174164305,0.0,0.0,0.0,848.8196793541076,0.0,0.0,0.0,4.0,0.0,0.0,1,0.0,,4.0
0x00778a211057c47a9f8885750bbf48226771bcdc,5e-10,110126.29905549138,5e-10,170811.63943951676,5e-10,6118.127725305077,5e-10,8540.581971975838,1.0,18.0,1.0,20.0,1,4.540241561627852e-15,1.0,40.0
0x007880443b595eb375ab6b6566ad9a52630659ff,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,inf,0.0,1.0
0x0079fe344f3fdec28956b39c8bbf5b5c31b926bd,0.0,3.18800174e-10,0.0,3.1889492e-10,0.0,3.18800174e-10,0.0,3.1889492e-10,0.0,1.0,0.0,1.0,1,0.0,,2.0
0x007a65795aea058d7b7e8d33c6e954f8bac533cb,180.0,50867.159744581295,0.0,52138.60758507171,180.0,50867.159744581295,0.0,52138.60758507171,1.0,1.0,0.0,1.0,1,0.003538628869860869,0.0,3.0
0x007cd4d96eb5efdb8a20830754571d8e9fe334ef,0.0,0.0,0.0,4.829632264810538,0.0,0.0,0.0,4.829632264810538,0.0,0.0,0.0,1.0,1,,,1.0
0x00803232cc216eef9b396d6cfffd4b51e09f29da,0.0,0.0,0.0,1.0000323841618233,0.0,0.0,0.0,1.0000323841618233,0.0,0.0,0.0,1.0,1,,,1.0
0x00809b9263aab2856bf65be3d3bc3fcb9e19c1fb,5.5151832304e-08,150.1852976662365,4.7040404898e-08,159.31507822377452,7.25682004e-10,4.69329055206989,3.3600289212857143e-09,9.371475189633795,76.0,32.0,14.0,17.0,1,3.6722524215763376e-10,0.8529255136748792,139.0
0x0082a12e195b8f31660830132e72716225382075,0.0,65.41182350999999,0.0,0.0,0.0,32.705911754999995,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,,2.0
